Sentences,Label,Prediction
জসিম ভাত খায়।,0,0
আমি বই পড়তে ভালোবাসি।,0,0
আমার নাম সুরেশ।,0,0
বাংলাদেশ একটি সুন্দর দেশ।,0,0
আপনি কোথায় থাকেন?,0,0
আমি একটি শিক্ষার্থী।,0,0
আমার প্রিয় ফল আম।,0,0
তুমি চেষ্টা না করায় ব্যর্থ হয়েছ।,0,0
আমি আজ প্রিয় মানুষের সাথে ঘুম ভাঙ্গানোর স্বপ্ন দেখতে চাই।,0,0
আমরা সবাই একটি মহান জাতির অংশ।,0,0
আমরা দুটি বন্ধু সকালে পার্কে বেড়িয়ে যাচ্ছি।,0,0
তার সাথে একটি আদর্শ সম্বন্ধ রয়েছে।,0,0
আমরা একটি নতুন প্রকল্পে কাজ করছি।,0,0
পরবর্তী সপ্তাহে আমরা দুটি পর্বে বিভাজিত হব।,0,0
সকালে তিনটা পানি খাচ্ছি।,0,0
বাড়ি ফিরে গিয়ে রাতে খাওয়া খাচ্ছি।,0,0
আমি সবসময় নিরাপদে থাকতে চাই।,0,0
এই বইটি আমার প্রিয় বই।,0,0
আমাদের দেশে প্রকৃতি অত্যন্ত সুন্দর।,0,0
আমি কখনও হঠাৎ সোনা উদ্ধার করতে চাই।,0,0
"যখন বিপদ আসে, তখন দুঃখও আসে।",1,1
"যদি নিয়মিত সাঁতার কাটো, তবে স্বাস্থ্য ভালো থাকবে।",1,1
"যারা পরিশ্রম করে, তারা জীবনে সফল হয়।",1,1
"যখন সে সুসংবাদটা পেল, তখন সে আনন্দিত হলো",1,1
"যে ছেলেটি এখানে এসেছিল, সে আমার ভাই।",1,1
"যদি তুমি যাও, তবে তার দেখা পাবে।",1,1
"যখন বৃষ্টি নামল, তখন আমরা ছাতা খুঁজতে শুরু করলাম।",1,1
যেমনি বলল অমনি সে বাড়িমুখো রওনা দিল।,1,1
যারা বিজ্ঞানী তাঁরা ভূত বিশ্বাস করেন না।,1,1
"যেহেতু দোষ করেছ, সেহেতু শান্তি পাবে।",1,1
যদিও সে অসুস্থ তবুও সে স্কুলে গেল।,1,1
"সবাই জানেন যে, কালো টাকার মালিকগণ সুখী হন না।",1,1
যদিও বর্ষাকাল তবুও মেঘের দেখা নেই।,1,1
যেই বৃষ্টি এল সেই ব্যাঙের ডাক শুরু হল।,1,1
যেহেতু সে পড়াশোনা করে সেহেতু সকলে তাকে ভালোবাসে।,1,1
যদিও লোকটি সরল তথাপি সে জ্ঞানী।,1,1
"যে হিমালয়ে বাস করিতেন, সেই হিমালয়ের তিনি যেন মিতা।",1,1
"তোমার যিনি বাপ, তার নাম কি?",1,1
"যদিও ছেলেটির বয়স অল্প, তবু বেশ বুদ্ধিমান।",1,1
আমি দেখা করব বলে এসেছি,1,0
"আমি আসব, তুমি কাজ করবে।",2,2
"তোমরা চেষ্টা করেছ, কিন্তু আশানুরূপ ফল পাওনি – এতে দোষের কিছু নেই।",2,2
"সে ঘর ঝাড়ু দিল, ঘর মুছল, তারপর পড়তে বসল।",2,2
"আমরা খেললাম, তারপর গরম পানি খেয়েছি।",2,2
"নিয়মিত সাঁতার কাটো, স্বাস্থ্য ভালো থাকবে।",2,2
"সবাই হাসলে, সবাই খুশি।",2,2
সীমা বই পড়ছে আর হাবিব ঘর গোছাচ্ছে।,2,2
ছেলেটি গরিব কিন্তু মেধাবী।,2,2
এতক্ষণ অপেক্ষা করলাম কিন্তু গাড়ি পেলাম না।,2,2
দুঃখ এবং বিপদ এক সাথে আসে।,2,2
এতক্ষণ অপেক্ষা করলাম কিন্তু গাড়ি পেলাম না।,2,2
তাঁর টাকা আছে কিন্তু তিনি দান করেন না।,2,2
ভোরে উঠবে এবং ভ্রমন করবে।,2,2
বয়সে ছোট কিন্তু তার বুদ্ধি প্রখর।,2,2
জোরে বলো নাহলে কেউ শুনতে পাবে না।,2,2
স্টেশন এলাম আর ট্রেনটা ছেড়ে দিল।,2,2
সূর্য ওঠে এবং কুয়াশা দূর হয়।,2,2
"সে পড়াশোনা করে, তাই সকলে তাকে ভালোবাসে।",2,2
"এখন রাত, তাই বাইরে যেও না।",2,2
লোকটি সরল অথচ জ্ঞানী।,2,2
